batch_idx,memory_cpu_mb,memory_gpu_mb,batch_size,compile_applied,sample_output
0,1739.609375,168.12939453125,16,True,' I'
1,1763.49609375,168.12939453125,16,True,''
2,2292.01953125,168.12939453125,16,True,''
3,2292.01953125,168.12939453125,16,True,' I'
4,2292.01953125,168.12939453125,16,True,''
5,2292.01953125,168.12939453125,16,True,'真'
6,2292.01953125,168.12939453125,16,True,""" I'm not."""
7,2292.01953125,168.12939453125,16,True,'真真真真真真真真真真真真真真真真真真真真真真真真真'
8,2292.01953125,168.12939453125,16,True,''
9,2292.01953125,168.12939453125,16,True,'誓'
10,2292.01953125,168.12939453125,16,True,'哎呀'
11,2292.01953125,168.12939453125,16,True,' I'
12,2292.01953125,168.12939453125,16,True,''
13,2292.01953125,168.12939453125,16,True,' I'
14,2292.01953125,168.12939453125,16,True,''
15,2292.01953125,168.12939453125,16,True,""" I'm not."""
